transaction_id,date,customer_id,product_id,quantity,unit_price,discount,revenue,channel
T0000001,2025-12-26,C0035,P002,1,6.49,0.0,6.49,Store
T0000002,2025-12-26,C0021,P008,1,14.99,0.0,14.99,Web
T0000003,2025-12-26,C0048,P006,3,24.99,0.0,74.97,Store
T0000004,2025-12-26,C0029,P005,2,34.99,0.0,69.98,Store
T0000005,2025-12-26,C0063,P007,1,29.99,0.1,26.99,Store
T0000006,2025-12-26,C0111,P005,1,34.99,0.1,31.49,Mobile
T0000007,2025-12-26,C0118,P006,4,24.99,0.0,99.96,Web
T0000008,2025-12-26,C0103,P001,2,12.99,0.0,25.98,Store
T0000009,2025-12-26,C0058,P002,1,6.49,0.0,6.49,Store
T0000010,2025-12-26,C0040,P006,2,24.99,0.15,42.48,Mobile
T0000011,2025-12-26,C0058,P002,3,6.49,0.1,17.52,Web
T0000012,2025-12-26,C0076,P005,2,34.99,0.05,66.48,Mobile
T0000013,2025-12-26,C0016,P005,1,34.99,0.05,33.24,Store
T0000014,2025-12-26,C0113,P004,1,79.99,0.1,71.99,Web
T0000015,2025-12-26,C0094,P002,3,6.49,0.0,19.47,Web
T0000016,2025-12-26,C0021,P006,3,24.99,0.05,71.22,Web
T0000017,2025-12-26,C0060,P005,2,34.99,0.0,69.98,Store
T0000018,2025-12-26,C0079,P005,3,34.99,0.1,94.47,Web
T0000019,2025-12-26,C0033,P007,1,29.99,0.0,29.99,Store
T0000020,2025-12-26,C0113,P001,2,12.99,0.0,25.98,Mobile
T0000021,2025-12-26,C0094,P003,3,18.99,0.15,48.42,Store
T0000022,2025-12-26,C0103,P004,1,79.99,0.0,79.99,Web
T0000023,2025-12-26,C0002,P002,2,6.49,0.0,12.98,Store
T0000024,2025-12-26,C0037,P005,2,34.99,0.15,59.48,Mobile
T0000025,2025-12-26,C0035,P001,1,12.99,0.15,11.04,Web
T0000026,2025-12-26,C0079,P008,1,14.99,0.1,13.49,Store
T0000027,2025-12-26,C0029,P003,1,18.99,0.0,18.99,Mobile
T0000028,2025-12-26,C0079,P005,1,34.99,0.0,34.99,Store
T0000029,2025-12-26,C0073,P008,3,14.99,0.1,40.47,Mobile
T0000030,2025-12-26,C0093,P008,2,14.99,0.0,29.98,Store
T0000031,2025-12-26,C0061,P005,3,34.99,0.05,99.72,Store
T0000032,2025-12-26,C0033,P003,3,18.99,0.0,56.97,Store
T0000033,2025-12-26,C0107,P005,1,34.99,0.0,34.99,Store
T0000034,2025-12-27,C0069,P007,2,29.99,0.0,59.98,Web
T0000035,2025-12-27,C0078,P006,2,24.99,0.0,49.98,Store
T0000036,2025-12-27,C0015,P005,1,34.99,0.0,34.99,Store
T0000037,2025-12-27,C0052,P005,3,34.99,0.0,104.97,Web
T0000038,2025-12-27,C0039,P005,1,34.99,0.0,34.99,Store
T0000039,2025-12-27,C0028,P003,4,18.99,0.0,75.96,Web
T0000040,2025-12-27,C0066,P007,2,29.99,0.0,59.98,Web
T0000041,2025-12-27,C0107,P001,4,12.99,0.1,46.76,Store
T0000042,2025-12-27,C0014,P002,1,6.49,0.1,5.84,Store
T0000043,2025-12-27,C0034,P002,1,6.49,0.0,6.49,Web
T0000044,2025-12-27,C0002,P001,3,12.99,0.0,38.97,Store
T0000045,2025-12-27,C0044,P002,5,6.49,0.0,32.45,Web
T0000046,2025-12-27,C0002,P001,1,12.99,0.0,12.99,Store
T0000047,2025-12-27,C0101,P007,4,29.99,0.0,119.96,Store
T0000048,2025-12-27,C0010,P006,3,24.99,0.0,74.97,Mobile
T0000049,2025-12-27,C0006,P006,1,24.99,0.0,24.99,Web
T0000050,2025-12-27,C0060,P005,1,34.99,0.0,34.99,Mobile
T0000051,2025-12-27,C0077,P003,3,18.99,0.0,56.97,Web
T0000052,2025-12-27,C0041,P003,4,18.99,0.1,68.36,Web
T0000053,2025-12-27,C0103,P006,2,24.99,0.0,49.98,Store
T0000054,2025-12-27,C0111,P001,1,12.99,0.0,12.99,Store
T0000055,2025-12-27,C0003,P004,2,79.99,0.0,159.98,Store
T0000056,2025-12-27,C0034,P008,4,14.99,0.05,56.96,Mobile
T0000057,2025-12-27,C0087,P003,3,18.99,0.05,54.12,Store
T0000058,2025-12-27,C0067,P008,4,14.99,0.05,56.96,Store
T0000059,2025-12-27,C0015,P008,1,14.99,0.05,14.24,Store
T0000060,2025-12-27,C0119,P005,4,34.99,0.0,139.96,Web
T0000061,2025-12-27,C0111,P002,1,6.49,0.0,6.49,Store
T0000062,2025-12-27,C0014,P004,6,79.99,0.0,479.94,Web
T0000063,2025-12-28,C0062,P007,1,29.99,0.0,29.99,Mobile
T0000064,2025-12-28,C0081,P003,2,18.99,0.1,34.18,Store
T0000065,2025-12-28,C0071,P008,1,14.99,0.1,13.49,Store
T0000066,2025-12-28,C0011,P001,4,12.99,0.0,51.96,Store
T0000067,2025-12-28,C0069,P008,5,14.99,0.0,74.95,Store
T0000068,2025-12-28,C0009,P005,1,34.99,0.0,34.99,Web
T0000069,2025-12-28,C0042,P004,4,79.99,0.1,287.96,Store
T0000070,2025-12-28,C0040,P002,5,6.49,0.0,32.45,Store
T0000071,2025-12-28,C0019,P006,3,24.99,0.05,71.22,Store
T0000072,2025-12-28,C0058,P008,5,14.99,0.0,74.95,Store
T0000073,2025-12-28,C0079,P003,3,18.99,0.15,48.42,Store
T0000074,2025-12-28,C0005,P003,1,18.99,0.0,18.99,Web
T0000075,2025-12-28,C0038,P002,1,6.49,0.0,6.49,Store
T0000076,2025-12-28,C0008,P001,2,12.99,0.0,25.98,Store
T0000077,2025-12-28,C0001,P006,1,24.99,0.1,22.49,Store
T0000078,2025-12-28,C0061,P008,2,14.99,0.05,28.48,Mobile
T0000079,2025-12-28,C0032,P002,1,6.49,0.0,6.49,Web
T0000080,2025-12-28,C0028,P004,2,79.99,0.0,159.98,Web
T0000081,2025-12-28,C0019,P004,1,79.99,0.0,79.99,Mobile
T0000082,2025-12-28,C0002,P005,1,34.99,0.0,34.99,Web
T0000083,2025-12-28,C0029,P003,3,18.99,0.1,51.27,Web
T0000084,2025-12-28,C0020,P001,4,12.99,0.0,51.96,Mobile
T0000085,2025-12-28,C0044,P008,3,14.99,0.0,44.97,Store
T0000086,2025-12-28,C0039,P008,1,14.99,0.0,14.99,Store
T0000087,2025-12-28,C0003,P008,1,14.99,0.05,14.24,Web
T0000088,2025-12-28,C0039,P004,2,79.99,0.0,159.98,Web
T0000089,2025-12-28,C0021,P005,2,34.99,0.0,69.98,Mobile
T0000090,2025-12-29,C0108,P004,3,79.99,0.0,239.97,Web
T0000091,2025-12-29,C0036,P003,2,18.99,0.0,37.98,Store
T0000092,2025-12-29,C0105,P003,2,18.99,0.0,37.98,Web
T0000093,2025-12-29,C0088,P003,4,18.99,0.0,75.96,Web
T0000094,2025-12-29,C0063,P006,1,24.99,0.1,22.49,Store
T0000095,2025-12-29,C0082,P005,2,34.99,0.0,69.98,Mobile
T0000096,2025-12-29,C0110,P003,1,18.99,0.05,18.04,Mobile
T0000097,2025-12-29,C0046,P001,4,12.99,0.0,51.96,Mobile
T0000098,2025-12-29,C0104,P008,1,14.99,0.0,14.99,Web
T0000099,2025-12-29,C0003,P004,4,79.99,0.0,319.96,Web
T0000100,2025-12-29,C0070,P005,3,34.99,0.0,104.97,Store
T0000101,2025-12-29,C0048,P007,1,29.99,0.0,29.99,Web
T0000102,2025-12-29,C0041,P005,2,34.99,0.05,66.48,Mobile
T0000103,2025-12-29,C0034,P006,1,24.99,0.0,24.99,Store
T0000104,2025-12-29,C0032,P006,1,24.99,0.0,24.99,Mobile
T0000105,2025-12-29,C0079,P005,1,34.99,0.0,34.99,Store
T0000106,2025-12-29,C0092,P007,5,29.99,0.0,149.95,Store
T0000107,2025-12-29,C0067,P002,1,6.49,0.1,5.84,Web
T0000108,2025-12-29,C0066,P003,1,18.99,0.0,18.99,Mobile
T0000109,2025-12-29,C0071,P004,2,79.99,0.0,159.98,Web
T0000110,2025-12-29,C0093,P007,2,29.99,0.1,53.98,Store
T0000111,2025-12-29,C0032,P001,2,12.99,0.0,25.98,Store
T0000112,2025-12-29,C0086,P003,3,18.99,0.0,56.97,Store
T0000113,2025-12-30,C0064,P001,2,12.99,0.0,25.98,Mobile
T0000114,2025-12-30,C0058,P007,2,29.99,0.0,59.98,Store
T0000115,2025-12-30,C0004,P008,1,14.99,0.1,13.49,Store
T0000116,2025-12-30,C0073,P002,2,6.49,0.0,12.98,Mobile
T0000117,2025-12-30,C0099,P002,2,6.49,0.1,11.68,Store
T0000118,2025-12-30,C0007,P006,3,24.99,0.05,71.22,Store
T0000119,2025-12-30,C0111,P008,2,14.99,0.15,25.48,Store
T0000120,2025-12-30,C0008,P005,1,34.99,0.0,34.99,Web
T0000121,2025-12-30,C0048,P005,3,34.99,0.05,99.72,Web
T0000122,2025-12-30,C0057,P006,2,24.99,0.05,47.48,Mobile
T0000123,2025-12-30,C0005,P005,5,34.99,0.0,174.95,Mobile
T0000124,2025-12-30,C0044,P007,3,29.99,0.0,89.97,Mobile
T0000125,2025-12-30,C0051,P008,2,14.99,0.0,29.98,Store
T0000126,2025-12-30,C0012,P002,3,6.49,0.0,19.47,Store
T0000127,2025-12-30,C0094,P008,3,14.99,0.0,44.97,Store
T0000128,2025-12-30,C0035,P006,2,24.99,0.0,49.98,Web
T0000129,2025-12-30,C0115,P008,2,14.99,0.0,29.98,Mobile
T0000130,2025-12-30,C0048,P001,1,12.99,0.0,12.99,Mobile
T0000131,2025-12-30,C0074,P002,3,6.49,0.0,19.47,Store
T0000132,2025-12-30,C0076,P006,1,24.99,0.1,22.49,Mobile
T0000133,2025-12-30,C0102,P004,5,79.99,0.0,399.95,Web
T0000134,2025-12-30,C0035,P002,2,6.49,0.0,12.98,Web
T0000135,2025-12-31,C0001,P006,3,24.99,0.05,71.22,Store
T0000136,2025-12-31,C0047,P001,2,12.99,0.0,25.98,Web
T0000137,2025-12-31,C0112,P001,1,12.99,0.0,12.99,Web
T0000138,2025-12-31,C0033,P003,2,18.99,0.1,34.18,Store
T0000139,2025-12-31,C0051,P003,3,18.99,0.15,48.42,Mobile
T0000140,2025-12-31,C0062,P003,1,18.99,0.05,18.04,Mobile
T0000141,2025-12-31,C0039,P007,2,29.99,0.05,56.98,Store
T0000142,2025-12-31,C0095,P006,3,24.99,0.05,71.22,Web
T0000143,2025-12-31,C0059,P007,1,29.99,0.1,26.99,Store
T0000144,2025-12-31,C0019,P003,1,18.99,0.0,18.99,Store
T0000145,2025-12-31,C0053,P001,1,12.99,0.05,12.34,Mobile
T0000146,2025-12-31,C0021,P002,1,6.49,0.1,5.84,Web
T0000147,2025-12-31,C0099,P005,1,34.99,0.0,34.99,Web
T0000148,2025-12-31,C0031,P001,3,12.99,0.0,38.97,Store
T0000149,2025-12-31,C0026,P003,1,18.99,0.0,18.99,Store
T0000150,2025-12-31,C0022,P007,3,29.99,0.05,85.47,Store
